ORPHAcode,fenotipo_id,frecuencia
881,HP:0012434,Occasional (29-5%)
881,HP:0100646,Occasional (29-5%)
881,HP:0000150,Very rare (<4-1%)
881,HP:0000471,Very rare (<4-1%)
881,HP:0000133,Very frequent (99-80%)
881,HP:0000137,Very frequent (99-80%)
881,HP:0000470,Very frequent (99-80%)
881,HP:0000823,Very frequent (99-80%)
881,HP:0000837,Very frequent (99-80%)
881,HP:0000879,Very frequent (99-80%)
881,HP:0000938,Very frequent (99-80%)
881,HP:0000939,Very frequent (99-80%)
881,HP:0001510,Very frequent (99-80%)
881,HP:0001511,Very frequent (99-80%)
881,HP:0002750,Very frequent (99-80%)
881,HP:0001394,Very rare (<4-1%)
881,HP:0002037,Very rare (<4-1%)
881,HP:0002613,Very rare (<4-1%)
881,HP:0002647,Very rare (<4-1%)
881,HP:0002861,Very rare (<4-1%)
881,HP:0004383,Very rare (<4-1%)
881,HP:0004386,Very rare (<4-1%)
881,HP:0005294,Very rare (<4-1%)
881,HP:0008678,Very rare (<4-1%)
881,HP:0012758,Very rare (<4-1%)
881,HP:0002967,Very frequent (99-80%)
881,HP:0003492,Very frequent (99-80%)
881,HP:0004322,Very frequent (99-80%)
881,HP:0006610,Very frequent (99-80%)
881,HP:0006709,Very frequent (99-80%)
881,HP:0008209,Very frequent (99-80%)
881,HP:0008222,Very frequent (99-80%)
881,HP:0008897,Very frequent (99-80%)
881,HP:0012774,Very frequent (99-80%)
881,HP:0040072,Very frequent (99-80%)
881,HP:0100625,Very frequent (99-80%)
881,HP:0000218,Frequent (79-30%)
881,HP:0000278,Frequent (79-30%)
881,HP:0000347,Frequent (79-30%)
881,HP:0000365,Frequent (79-30%)
881,HP:0000369,Frequent (79-30%)
881,HP:0000403,Frequent (79-30%)
881,HP:0000465,Frequent (79-30%)
881,HP:0000474,Frequent (79-30%)
881,HP:0000475,Frequent (79-30%)
881,HP:0000708,Frequent (79-30%)
881,HP:0000739,Frequent (79-30%)
881,HP:0000758,Frequent (79-30%)
881,HP:0000786,Frequent (79-30%)
881,HP:0000822,Frequent (79-30%)
881,HP:0000869,Frequent (79-30%)
881,HP:0000872,Frequent (79-30%)
881,HP:0000914,Frequent (79-30%)
881,HP:0001328,Frequent (79-30%)
881,HP:0001397,Frequent (79-30%)
881,HP:0001513,Frequent (79-30%)
881,HP:0001531,Frequent (79-30%)
881,HP:0001800,Frequent (79-30%)
881,HP:0001952,Frequent (79-30%)
881,HP:0001999,Frequent (79-30%)
881,HP:0002162,Frequent (79-30%)
881,HP:0002705,Frequent (79-30%)
848,HP:0000924,Very frequent (99-80%)
848,HP:0000980,Very frequent (99-80%)
848,HP:0001744,Very frequent (99-80%)
848,HP:0001903,Very frequent (99-80%)
848,HP:0001935,Very frequent (99-80%)
848,HP:0011902,Very frequent (99-80%)
848,HP:0000044,Frequent (79-30%)
848,HP:0000737,Frequent (79-30%)
848,HP:0000929,Frequent (79-30%)
848,HP:0001324,Frequent (79-30%)
848,HP:0002093,Frequent (79-30%)
848,HP:0002240,Frequent (79-30%)
848,HP:0004349,Frequent (79-30%)
848,HP:0004370,Frequent (79-30%)
848,HP:0011031,Frequent (79-30%)
848,HP:0001081,Occasional (29-5%)
848,HP:0001639,Occasional (29-5%)
848,HP:0001873,Occasional (29-5%)
848,HP:0004936,Occasional (29-5%)
848,HP:0012115,Occasional (29-5%)
848,HP:0200042,Occasional (29-5%)
586,HP:0001738,Very frequent (99-80%)
586,HP:0002024,Very frequent (99-80%)
586,HP:0002110,Very frequent (99-80%)
586,HP:0002205,Very frequent (99-80%)
586,HP:0006536,Very frequent (99-80%)
586,HP:0012236,Very frequent (99-80%)
