ORPHAcode,fenotipo_id,Muy frecuente (80 - 99 %),Frecuente (30 - 79 %),Ocasional (5 - 29 %),Muy rara (1 - 4 %),Excluida (0 %),Siempre (100 %)
812,HP:0001350,1,0,0,0,0,0
812,HP:0001744,1,0,0,0,0,0
812,HP:0002007,0,1,0,0,0,0
812,HP:0002167,1,0,0,0,0,0
812,HP:0002353,0,1,0,0,0,0
812,HP:0002650,1,0,0,0,0,0
812,HP:0002652,1,0,0,0,0,0
812,HP:0002750,1,0,0,0,0,0
812,HP:0002808,0,0,1,0,0,0
812,HP:0003202,0,1,0,0,0,0
812,HP:0003312,0,1,0,0,0,0
812,HP:0003355,1,0,0,0,0,0
812,HP:0003461,1,0,0,0,0,0
812,HP:0004322,1,0,0,0,0,0
812,HP:0007957,1,0,0,0,0,0
812,HP:0010306,1,0,0,0,0,0
812,HP:0010729,1,0,0,0,0,0
812,HP:0011276,1,0,0,0,0,0
812,HP:0012061,1,0,0,0,0,0
812,HP:0100022,1,0,0,0,0,0
812,HP:0100790,0,1,0,0,0,0
578,HP:0000232,0,0,1,0,0,0
578,HP:0000252,0,0,1,0,0,0
578,HP:0000280,0,0,1,0,0,0
578,HP:0000486,1,0,0,0,0,0
578,HP:0000488,1,0,0,0,0,0
578,HP:0000512,0,0,1,0,0,0
578,HP:0000613,1,0,0,0,0,0
578,HP:0000639,0,1,0,0,0,0
578,HP:0000691,0,0,1,0,0,0
578,HP:0000708,1,0,0,0,0,0
578,HP:0000982,0,0,1,0,0,0
578,HP:0001249,1,0,0,0,0,0
578,HP:0001251,0,1,0,0,0,0
578,HP:0001252,0,1,0,0,0,0
578,HP:0001288,1,0,0,0,0,0
578,HP:0001344,1,0,0,0,0,0
578,HP:0001347,1,0,0,0,0,0
578,HP:0002353,0,1,0,0,0,0
578,HP:0002816,0,0,1,0,0,0
578,HP:0004345,1,0,0,0,0,0
578,HP:0004422,0,0,1,0,0,0
578,HP:0005105,0,0,1,0,0,0
578,HP:0007281,1,0,0,0,0,0
578,HP:0007703,0,0,1,0,0,0
578,HP:0007957,1,0,0,0,0,0
578,HP:0010318,1,0,0,0,0,0
578,HP:0011020,1,0,0,0,0,0
577,HP:0002857,0,1,0,0,0,0
577,HP:0003307,0,1,0,0,0,0
577,HP:0007957,0,1,0,0,0,0
577,HP:0000269,1,0,0,0,0,0
577,HP:0000505,1,0,0,0,0,0
577,HP:0001387,1,0,0,0,0,0
577,HP:0003264,1,0,0,0,0,0
577,HP:0003272,1,0,0,0,0,0
577,HP:0003312,1,0,0,0,0,0
577,HP:0004322,1,0,0,0,0,0
577,HP:0004493,1,0,0,0,0,0
577,HP:0008818,1,0,0,0,0,0
577,HP:0008821,1,0,0,0,0,0
577,HP:0025261,1,0,0,0,0,0
577,HP:0000280,0,1,0,0,0,0
577,HP:0000938,0,1,0,0,0,0
577,HP:0000943,0,1,0,0,0,0
