ORPHAcode,nombre_enfermedad,tipo_enfermedad,prevalencia_tipo,prevalencia_final,region_prevalencia,calidad_prevalencia,estado_validacion_prevalencia
100087,Rare thyroid tumor,Category,Annual incidence,3.2,Worldwide,Value and class,Not yet validated
100087,Rare thyroid tumor,Category,Annual incidence,5.0,Europe,Value and class,Not yet validated
100087,Rare thyroid tumor,Category,Annual incidence,5.7,Italy,Value and class,Not yet validated
100087,Rare thyroid tumor,Category,Annual incidence,5.35,France,Value and class,Not yet validated
100924,Porphyria due to ALA dehydratase deficiency,Disease,Point prevalence,1e-06,Europe,Class only,Not yet validated
100973,FRAXE intellectual disability,Disease,Point prevalence,5e-06,Europe,Class only,Not yet validated
100974,FRAXF syndrome,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
100976,Bathing suit ichthyosis,Disease,Cases/families,20.0,Worldwide,Case(s),Validated
100976,Bathing suit ichthyosis,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
100054,F12-related hereditary angioedema with normal C1Inh,Clinical subtype,Point prevalence,,Worldwide,Class only,Not yet validated
100051,Hereditary angioedema type 2,Etiological subtype,Point prevalence,,Worldwide,Class only,Validated
100057,Renin-angiotensin-aldosterone system-blocker-induced angioedema,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
100070,Progressive non-fluent aphasia,Disease,Point prevalence,2.5,Europe,Value and class,Validated
100070,Progressive non-fluent aphasia,Disease,Annual incidence,0.7,Europe,Value and class,Not yet validated
100073,Neurogenic thoracic outlet syndrome,Clinical subtype,Point prevalence,,Worldwide,Class only,Not yet validated
100075,Neuroendocrine tumor of stomach,Disease,Point prevalence,3.2,Europe,Value and class,Validated
100075,Neuroendocrine tumor of stomach,Disease,Point prevalence,1.7,United States,Value and class,Validated
100075,Neuroendocrine tumor of stomach,Disease,Point prevalence,0.7,United Kingdom,Value and class,Validated
100075,Neuroendocrine tumor of stomach,Disease,Point prevalence,0.5,Japan,Value and class,Validated
100071,Mosaic trisomy 3 syndrome,Malformation syndrome,Cases/families,6.0,Worldwide,Case(s),Validated
100071,Mosaic trisomy 3 syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
100020,Myelodysplastic neoplasm with increased blasts type 2,Clinical subtype,Point prevalence,,Worldwide,Class only,Not yet validated
100019,Myelodysplastic neoplasm with increased blasts type 1,Clinical subtype,Point prevalence,,Worldwide,Class only,Not yet validated
100022,Extramedullary soft tissue plasmacytoma,Clinical subtype,Annual incidence,0.1,United States,Value and class,Validated
100021,Primary plasmacytoma of the bone,Clinical subtype,Annual incidence,0.15,United States,Value and class,Validated
100024,Mu-heavy chain disease,Clinical subtype,Cases/families,35.0,Worldwide,Case(s),Validated
100024,Mu-heavy chain disease,Clinical subtype,Point prevalence,1e-06,Worldwide,Class only,Validated
100026,Gamma-heavy chain disease,Clinical subtype,Cases/families,120.0,Worldwide,Case(s),Validated
100026,Gamma-heavy chain disease,Clinical subtype,Point prevalence,1e-06,Worldwide,Class only,Validated
100025,Alpha-heavy chain disease,Clinical subtype,Cases/families,400.0,Worldwide,Case(s),Validated
100025,Alpha-heavy chain disease,Clinical subtype,Point prevalence,,Worldwide,Class only,Validated
100043,Autosomal dominant intermediate Charcot-Marie-Tooth disease type A,Disease,Cases/families,20.0,Worldwide,Case(s),Validated
100043,Autosomal dominant intermediate Charcot-Marie-Tooth disease type A,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
100044,Autosomal dominant intermediate Charcot-Marie-Tooth disease type B,Disease,Cases/families,37.0,Worldwide,Case(s),Validated
100044,Autosomal dominant intermediate Charcot-Marie-Tooth disease type B,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
100045,Autosomal dominant intermediate Charcot-Marie-Tooth disease type C,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
100045,Autosomal dominant intermediate Charcot-Marie-Tooth disease type C,Disease,Cases/families,35.0,Worldwide,Case(s),Validated
100046,Autosomal dominant intermediate Charcot-Marie-Tooth disease type D,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
100046,Autosomal dominant intermediate Charcot-Marie-Tooth disease type D,Disease,Cases/families,12.0,Worldwide,Case(s),Validated
100050,Hereditary angioedema type 1,Etiological subtype,Point prevalence,1.54,Italy,Value and class,Validated
100050,Hereditary angioedema type 1,Etiological subtype,Point prevalence,5e-05,Europe,Class only,Not yet validated
100012,Lissencephaly with cerebellar hypoplasia type B,Malformation syndrome,Cases/families,50.0,Worldwide,Case(s),Validated
100012,Lissencephaly with cerebellar hypoplasia type B,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
100013,Lissencephaly with cerebellar hypoplasia type C,Malformation syndrome,Cases/families,2.0,Worldwide,Case(s),Validated
100013,Lissencephaly with cerebellar hypoplasia type C,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
100008,ACys amyloidosis,Clinical subtype,Cases/families,9.0,Worldwide,Family(ies),Validated
100008,ACys amyloidosis,Clinical subtype,Point prevalence,1e-06,Worldwide,Class only,Validated
100006,"ABeta amyloidosis, Dutch type",Clinical subtype,Cases/families,250.0,Worldwide,Case(s),Validated
100006,"ABeta amyloidosis, Dutch type",Clinical subtype,Point prevalence,1e-06,Worldwide,Class only,Validated
99995,Complex regional pain syndrome type 1,Clinical subtype,Annual incidence,5.46,United States,Value and class,Validated
99995,Complex regional pain syndrome type 1,Clinical subtype,Point prevalence,20.57,United States,Value and class,Validated
99994,Complex regional pain syndrome type 2,Clinical subtype,Annual incidence,0.82,United States,Value and class,Validated
99994,Complex regional pain syndrome type 2,Clinical subtype,Point prevalence,,Europe,Class only,Not yet validated
99989,Intermediate DEND syndrome,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99981,Apnea of prematurity,Disease,Point prevalence,8.5,Europe,Value and class,Validated
99978,Klatskin tumor,Disease,Annual incidence,1.5,United States,Value and class,Not yet validated
99978,Klatskin tumor,Disease,Point prevalence,5e-05,Europe,Class only,Not yet validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,3.357,Europe,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Point prevalence,5e-05,Europe,Class only,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Lifetime Prevalence,5.42,Europe,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,5.2,Worldwide,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,2.026,Austria,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,3.881,Belgium,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,0.801,Bulgaria,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,2.79,Croatia,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,2.315,Czech Republic,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,3.122,Estonia,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,2.325,Finland,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,5.069,France,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,4.172,Germany,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,2.215,Iceland,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,3.443,Ireland,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,2.623,Italy,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,2.896,Latvia,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,2.922,Lithuania,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,1.256,Malta,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,1.706,Norway,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,1.996,Poland,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,3.734,Portugal,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,3.866,Slovakia,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,3.234,Slovenia,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,3.544,Spain,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,3.778,Switzerland,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,3.139,Netherlands,Value and class,Validated
99977,Squamous cell carcinoma of the esophagus,Disease,Annual incidence,4.186,United Kingdom,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,3.264,Europe,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Point prevalence,5e-05,Europe,Class only,Validated
99976,Adenocarcinoma of the esophagus,Disease,Lifetime Prevalence,5.55,Europe,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,0.7,Worldwide,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,1.235,Austria,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,3.918,Belgium,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,0.364,Bulgaria,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,0.485,Croatia,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,1.28,Czech Republic,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,0.305,Estonia,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,1.5,Finland,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,1.681,France,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,1.636,Germany,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,2.471,Iceland,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,3.736,Ireland,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,0.947,Italy,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,0.39,Latvia,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,0.526,Lithuania,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,1.319,Malta,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,0.315,Poland,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,0.829,Portugal,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,0.578,Slovakia,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,0.651,Slovenia,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,2.612,Switzerland,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,5.196,Netherlands,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,6.592,United Kingdom,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,1.848,Norway,Value and class,Validated
99976,Adenocarcinoma of the esophagus,Disease,Annual incidence,1.178,Spain,Value and class,Validated
99971,Well-differentiated liposarcoma,Histopathological subtype,Annual incidence,0.51,Europe,Value and class,Validated
99971,Well-differentiated liposarcoma,Histopathological subtype,Point prevalence,,Worldwide,Class only,Not yet validated
99969,Pleomorphic liposarcoma,Histopathological subtype,Annual incidence,0.05,Europe,Value and class,Validated
99969,Pleomorphic liposarcoma,Histopathological subtype,Point prevalence,,Worldwide,Class only,Not yet validated
99970,Dedifferentiated liposarcoma,Histopathological subtype,Annual incidence,0.27,Europe,Value and class,Validated
99970,Dedifferentiated liposarcoma,Histopathological subtype,Point prevalence,,Worldwide,Class only,Not yet validated
99967,Myxoid/round cell liposarcoma,Histopathological subtype,Annual incidence,0.1,Europe,Value and class,Validated
99967,Myxoid/round cell liposarcoma,Histopathological subtype,Point prevalence,,Worldwide,Class only,Not yet validated
99966,Atypical teratoid rhabdoid tumor,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99966,Atypical teratoid rhabdoid tumor,Disease,Annual incidence,1.38,Austria,Value and class,Validated
643549,Hao-Fountain syndrome,Disease,Cases/families,18.0,Worldwide,Case(s),Validated
643549,Hao-Fountain syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99955,Charcot-Marie-Tooth disease type 4B1,Disease,Cases/families,11.0,Worldwide,Family(ies),Validated
99955,Charcot-Marie-Tooth disease type 4B1,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99956,Charcot-Marie-Tooth disease type 4B2,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99948,Charcot-Marie-Tooth disease type 4A,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99947,Autosomal dominant Charcot-Marie-Tooth disease type 2A2,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99950,Charcot-Marie-Tooth disease type 4D,Disease,Point prevalence,,Worldwide,Class only,Validated
99949,Charcot-Marie-Tooth disease type 4C,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99952,Charcot-Marie-Tooth disease type 4F,Disease,Point prevalence,1e-06,Europe,Class only,Not yet validated
99954,Charcot-Marie-Tooth disease type 4H,Disease,Cases/families,15.0,Worldwide,Case(s),Validated
99954,Charcot-Marie-Tooth disease type 4H,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99953,Charcot-Marie-Tooth disease type 4G,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99953,Charcot-Marie-Tooth disease type 4G,Disease,Point prevalence,10.0,Czech Republic,Value and class,Validated
99940,Autosomal dominant Charcot-Marie-Tooth disease type 2F,Disease,Cases/families,5.0,Worldwide,Family(ies),Validated
99940,Autosomal dominant Charcot-Marie-Tooth disease type 2F,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99939,Autosomal dominant Charcot-Marie-Tooth disease type 2E,Disease,Point prevalence,,Worldwide,Class only,Validated
99941,Autosomal dominant Charcot-Marie-Tooth disease type 2G,Disease,Cases/families,1.0,Worldwide,Family(ies),Validated
99941,Autosomal dominant Charcot-Marie-Tooth disease type 2G,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99944,Autosomal dominant Charcot-Marie-Tooth disease type 2K,Disease,Cases/families,30.0,Worldwide,Case(s),Validated
99944,Autosomal dominant Charcot-Marie-Tooth disease type 2K,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99946,Autosomal dominant Charcot-Marie-Tooth disease type 2A1,Disease,Cases/families,1.0,Worldwide,Family(ies),Validated
99946,Autosomal dominant Charcot-Marie-Tooth disease type 2A1,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99945,Autosomal dominant Charcot-Marie-Tooth disease type 2L,Disease,Cases/families,1.0,Worldwide,Family(ies),Validated
99945,Autosomal dominant Charcot-Marie-Tooth disease type 2L,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99931,Idiopathic pulmonary hemosiderosis,Disease,Annual incidence,0.0425,Europe,Value and class,Validated
99931,Idiopathic pulmonary hemosiderosis,Disease,Point prevalence,,Europe,Class only,Not yet validated
99938,Autosomal dominant Charcot-Marie-Tooth disease type 2D,Disease,Cases/families,44.0,Worldwide,Case(s),Validated
99938,Autosomal dominant Charcot-Marie-Tooth disease type 2D,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99925,Invasive mole,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99926,Gestational choriocarcinoma,Disease,Point prevalence,,Worldwide,Class only,Validated
99926,Gestational choriocarcinoma,Disease,Annual incidence,,Worldwide,Class only,Validated
99926,Gestational choriocarcinoma,Disease,Lifetime Prevalence,,Worldwide,Class only,Validated
99927,Hydatidiform mole,Disease,Point prevalence,,Worldwide,Class only,Validated
99927,Hydatidiform mole,Disease,Annual incidence,,Worldwide,Class only,Validated
99928,Placental site trophoblastic tumor,Disease,Annual incidence,0.02,Europe,Value and class,Validated
99928,Placental site trophoblastic tumor,Disease,Lifetime Prevalence,0.86,Europe,Value and class,Validated
99928,Placental site trophoblastic tumor,Disease,Point prevalence,1e-06,Europe,Class only,Not yet validated
99918,Streptococcal toxic-shock syndrome,Etiological subtype,Annual incidence,0.1,France,Value and class,Validated
99918,Streptococcal toxic-shock syndrome,Etiological subtype,Annual incidence,0.2,United States,Value and class,Validated
99918,Streptococcal toxic-shock syndrome,Etiological subtype,Annual incidence,0.33,Sweden,Value and class,Validated
99918,Streptococcal toxic-shock syndrome,Etiological subtype,Annual incidence,0.23,Denmark,Value and class,Validated
99917,"Theca steroid-producing cell malignant tumor of ovary, not further specified",Disease,Annual incidence,1e-06,Europe,Class only,Validated
99916,Malignant Sertoli-Leydig cell tumor of the ovary,Disease,Annual incidence,1e-06,Europe,Class only,Validated
99915,Malignant granulosa cell tumor of the ovary,Disease,Annual incidence,0.12,Europe,Value and class,Validated
99919,Staphylococcal toxic-shock syndrome,Etiological subtype,Point prevalence,,Worldwide,Class only,Not yet validated
99919,Staphylococcal toxic-shock syndrome,Etiological subtype,Annual incidence,0.58,United States,Value and class,Validated
99912,Ovarian dysgerminoma,Disease,Point prevalence,,Worldwide,Class only,Validated
99912,Ovarian dysgerminoma,Disease,Annual incidence,0.04,Europe,Value and class,Validated
99901,Acyl-CoA dehydrogenase 9 deficiency,Disease,Cases/families,23.0,Worldwide,Case(s),Validated
99901,Acyl-CoA dehydrogenase 9 deficiency,Disease,Point prevalence,,Worldwide,Class only,Validated
99905,Streptobacillary rat-bite fever,Etiological subtype,Point prevalence,,Worldwide,Class only,Not yet validated
99903,Spirillary rat-bite fever,Etiological subtype,Point prevalence,,Worldwide,Class only,Not yet validated
99892,ACTH-dependent Cushing syndrome,Clinical group,Annual incidence,0.55,Worldwide,Value and class,Not yet validated
99892,ACTH-dependent Cushing syndrome,Clinical group,Point prevalence,,Worldwide,Class only,Not yet validated
99898,Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR1 deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99898,Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR1 deficiency,Disease,Cases/families,31.0,Worldwide,Case(s),Validated
99879,Familial isolated hyperparathyroidism,Disease,Cases/families,100.0,Worldwide,Family(ies),Validated
99879,Familial isolated hyperparathyroidism,Disease,Point prevalence,,Worldwide,Class only,Validated
99880,Hyperparathyroidism-jaw tumor syndrome,Disease,Cases/families,100.0,Worldwide,Case(s),Validated
99880,Hyperparathyroidism-jaw tumor syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99889,Cushing syndrome due to ectopic ACTH secretion,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99885,Isolated permanent neonatal diabetes mellitus,Disease,Prevalence at birth,0.38,Europe,Value and class,Validated
99885,Isolated permanent neonatal diabetes mellitus,Disease,Point prevalence,5e-06,Europe,Class only,Validated
99885,Isolated permanent neonatal diabetes mellitus,Disease,Prevalence at birth,0.38,United Kingdom,Value and class,Validated
99885,Isolated permanent neonatal diabetes mellitus,Disease,Prevalence at birth,0.38,Poland,Value and class,Validated
99885,Isolated permanent neonatal diabetes mellitus,Disease,Prevalence at birth,0.38,Netherlands,Value and class,Validated
99885,Isolated permanent neonatal diabetes mellitus,Disease,Prevalence at birth,0.46,Slovakia,Value and class,Validated
99885,Isolated permanent neonatal diabetes mellitus,Disease,Prevalence at birth,0.4,United States,Value and class,Validated
99885,Isolated permanent neonatal diabetes mellitus,Disease,Prevalence at birth,18.0,Oman,Value and class,Validated
99886,Transient neonatal diabetes mellitus,Disease,Prevalence at birth,0.3,Europe,Value and class,Validated
99886,Transient neonatal diabetes mellitus,Disease,Point prevalence,,Europe,Class only,Validated
99865,Spermatocytic seminoma,Disease,Annual incidence,0.03,Europe,Value and class,Validated
99865,Spermatocytic seminoma,Disease,Point prevalence,,Europe,Class only,Not yet validated
99868,Thymic carcinoma,Disease,Point prevalence,,Worldwide,Class only,Validated
99867,Thymoma,Disease,Annual incidence,0.14,Europe,Value and class,Validated
99867,Thymoma,Disease,Lifetime Prevalence,1.22,Europe,Value and class,Validated
99867,Thymoma,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99869,Thymic neuroendocrine carcinoma,Disease,Point prevalence,,Worldwide,Class only,Validated
99849,Glycogen storage disease due to muscle beta-enolase deficiency,Disease,Cases/families,1.0,Worldwide,Case(s),Validated
99849,Glycogen storage disease due to muscle beta-enolase deficiency,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99845,Genetic recurrent myoglobinuria,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99846,Autosomal dominant myoglobinuria,Disease,Cases/families,2.0,Worldwide,Family(ies),Validated
99846,Autosomal dominant myoglobinuria,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99843,Leukocyte adhesion deficiency type II,Clinical subtype,Cases/families,7.0,Worldwide,Case(s),Validated
99843,Leukocyte adhesion deficiency type II,Clinical subtype,Point prevalence,1e-06,Worldwide,Class only,Validated
99844,Leukocyte adhesion deficiency type III,Clinical subtype,Cases/families,40.0,Worldwide,Case(s),Validated
99844,Leukocyte adhesion deficiency type III,Clinical subtype,Point prevalence,1e-06,Worldwide,Class only,Validated
99853,Ovarioleukodystrophy,Clinical subtype,Cases/families,17.0,Worldwide,Case(s),Validated
99853,Ovarioleukodystrophy,Clinical subtype,Point prevalence,1e-06,Worldwide,Class only,Validated
99852,Ravine syndrome,Disease,Cases/families,38.0,Worldwide,Case(s),Validated
99852,Ravine syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99832,Resistance to thyrotropin-releasing hormone syndrome,Disease,Cases/families,2.0,Worldwide,Case(s),Validated
99832,Resistance to thyrotropin-releasing hormone syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99829,Yellow fever,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99829,Yellow fever,Disease,Annual incidence,1e-06,Europe,Class only,Validated
99828,Dengue fever,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99828,Dengue fever,Disease,Annual incidence,714.0,Worldwide,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.5,Europe,Value and class,Validated
99828,Dengue fever,Disease,Point prevalence,5e-05,Europe,Class only,Validated
99828,Dengue fever,Disease,Annual incidence,1.14,Austria,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.98,Belgium,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.033,Croatia,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.58,Estonia,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.98,Finland,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.36,France,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.96,Germany,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.14,Hungary,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.32,Ireland,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.14,Italy,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.34,Latvia,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.15,Lithuania,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.04,Luxembourg,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.22,Malta,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.1,Portugal,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.07,Slovakia,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.22,Slovenia,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.26,Spain,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,1.7,Sweden,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,0.72,United Kingdom,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,1.26,Norway,Value and class,Validated
99828,Dengue fever,Disease,Annual incidence,1e-06,Greece,Class only,Validated
99827,Crimean-Congo hemorrhagic fever,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99827,Crimean-Congo hemorrhagic fever,Disease,Point prevalence,1e-06,Europe,Class only,Validated
99842,Leukocyte adhesion deficiency type I,Clinical subtype,Point prevalence,0.1,Europe,Value and class,Validated
99812,LIG4 syndrome,Disease,Cases/families,28.0,Worldwide,Case(s),Validated
99812,LIG4 syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99824,Lassa fever,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
99824,Lassa fever,Disease,Point prevalence,1e-06,Europe,Class only,Validated
99825,Nipah virus disease,Disease,Cases/families,556.0,Worldwide,Case(s),Validated
99825,Nipah virus disease,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99826,Marburg hemorrhagic fever,Disease,Cases/families,500.0,Worldwide,Case(s),Validated
99826,Marburg hemorrhagic fever,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99798,Oligodontia,Morphological anomaly,Point prevalence,,Worldwide,Class only,Not yet validated
99802,Hemimegalencephaly,Malformation syndrome,Point prevalence,,Worldwide,Class only,Validated
99803,Haddad syndrome,Malformation syndrome,Cases/families,60.0,Worldwide,Case(s),Validated
99803,Haddad syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
99806,Oculootodental syndrome,Malformation syndrome,Cases/families,1.0,Worldwide,Family(ies),Validated
99806,Oculootodental syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
99807,PEHO-like syndrome,Disease,Cases/families,10.0,Worldwide,Case(s),Validated
99807,PEHO-like syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99810,Familial porencephaly,Etiological subtype,Point prevalence,1e-06,Europe,Class only,Not yet validated
99789,Dentin dysplasia type I,Clinical subtype,Point prevalence,1.0,Europe,Value and class,Validated
99791,Dentin dysplasia type II,Clinical subtype,Cases/families,19.0,Worldwide,Family(ies),Validated
99791,Dentin dysplasia type II,Clinical subtype,Point prevalence,1e-06,Worldwide,Class only,Validated
99792,Dentin dysplasia-sclerotic bones syndrome,Disease,Cases/families,1.0,Worldwide,Family(ies),Validated
99792,Dentin dysplasia-sclerotic bones syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
99772,Cleft velum,Morphological anomaly,Point prevalence,0.0003,Europe,Class only,Not yet validated
99771,Bifid uvula,Morphological anomaly,Point prevalence,,Worldwide,Class only,Not yet validated
99776,Mosaic trisomy 9 syndrome,Malformation syndrome,Cases/families,50.0,Worldwide,Case(s),Validated
99776,Mosaic trisomy 9 syndrome,Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
631073,Autosomal recessive spastic paraplegia type 82,Disease,Cases/families,5.0,Worldwide,Case(s),Validated
631073,Autosomal recessive spastic paraplegia type 82,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
631076,Autosomal recessive spastic paraplegia type 83,Disease,Cases/families,16.0,Worldwide,Case(s),Validated
631076,Autosomal recessive spastic paraplegia type 83,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
631079,Autosomal recessive spastic paraplegia type 84,Disease,Cases/families,2.0,Worldwide,Case(s),Validated
631079,Autosomal recessive spastic paraplegia type 84,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
631082,Autosomal recessive spastic paraplegia type 85,Disease,Cases/families,9.0,Worldwide,Case(s),Validated
631082,Autosomal recessive spastic paraplegia type 85,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
