ORPHAcode,nombre_enfermedad,tipo_enfermedad,edad_media_inicio,tipo_herencia
2241,Megacystis-microcolon-intestinal hypoperistalsis syndrome,Malformation syndrome,"['Infancy', 'Neonatal']","['Autosomal dominant', 'Autosomal recessive']"
2246,Cerebellar hypoplasia-tapetoretinal degeneration syndrome,Malformation syndrome,['Infancy'],[]
2248,Hypoplastic left heart syndrome,Morphological anomaly,"['Antenatal', 'Neonatal']",['Unknown']
2249,Ulna hypoplasia-intellectual disability syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2250,Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome,Disease,"['Antenatal', 'Neonatal']","['Autosomal dominant', 'Unknown']"
2251,Thumb deformity-alopecia-pigmentation anomaly syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",[]
2252,Radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome,Malformation syndrome,['Neonatal'],[]
2253,Foveal hypoplasia-presenile cataract syndrome,Disease,['Adult'],['Autosomal dominant']
2254,Pontocerebellar hypoplasia type 1,Malformation syndrome,['Neonatal'],['Autosomal recessive']
2255,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome,Disease,['All ages'],['Autosomal dominant']
2256,Fibulo-ulnar hypoplasia-renal anomalies syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",[]
2257,Primary pulmonary hypoplasia,Morphological anomaly,['Neonatal'],[]
2260,Oligomeganephronia,Morphological anomaly,['All ages'],['Multigenic/multifactorial']
2261,"Hypospadias-intellectual disability, Goldblatt type syndrome",Malformation syndrome,"['Infancy', 'Neonatal']",[]
2266,"Hypotrichosis-intellectual disability, Lopes type",Disease,"['Childhood', 'Infancy']",['Autosomal recessive']
2268,ICF syndrome,Malformation syndrome,['Childhood'],['Autosomal recessive']
2269,Ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome,Disease,"['Infancy', 'Neonatal']",['Autosomal recessive']
2271,Congenital ichthyosis-microcephalus-tetraplegia syndrome,Disease,"['Infancy', 'Neonatal']",['Unknown']
2272,Ichthyosis-oral and digital anomalies syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2273,Ichthyosis follicularis-alopecia-photophobia syndrome,Disease,"['Infancy', 'Neonatal']","['Autosomal dominant', 'Not applicable', 'X-linked recessive']"
2274,Ichthyosis-hepatosplenomegaly-cerebellar degeneration syndrome,Disease,"['Infancy', 'Neonatal']","['Autosomal recessive', 'X-linked recessive']"
2278,Ichthyosis-intellectual disability-dwarfism-renal impairment syndrome,Malformation syndrome,['Neonatal'],[]
2282,Dysmorphism-short stature-deafness-difference of sex development syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2285,Primary basilar invagination,Morphological anomaly,['All ages'],['Autosomal dominant']
2287,Fused mandibular incisors,Morphological anomaly,"['Adolescent', 'Adult', 'Childhood']",[]
2289,Neuronal intranuclear inclusion disease,Disease,"['Adolescent', 'Adult', 'Childhood', 'Infancy']",[]
2290,Microvillus inclusion disease,Disease,"['Infancy', 'Neonatal']",['Autosomal recessive']
2291,Congenital velopharyngeal incompetence,Morphological anomaly,['Neonatal'],['Autosomal dominant']
2295,Familial articular hypermobility syndrome,Disease,"['Adolescent', 'Childhood', 'Infancy']",['Autosomal dominant']
2297,Insulin-resistance syndrome type A,Disease,['Childhood'],"['Autosomal dominant', 'Autosomal recessive']"
2298,Insulin-resistance syndrome type B,Disease,"['Adolescent', 'Adult', 'Childhood', 'Elderly']",['Not applicable']
2299,Aortic arch interruption,Morphological anomaly,"['Infancy', 'Neonatal']",['Not applicable']
2300,Multiple intestinal atresia,Morphological anomaly,"['Antenatal', 'Neonatal']",['Autosomal recessive']
2301,Congenital short bowel syndrome,Morphological anomaly,"['Infancy', 'Neonatal']","['Autosomal recessive', 'X-linked recessive']"
2302,Asbestos intoxication,Disease,['All ages'],[]
2305,Isotretinoin syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Not applicable']
2306,Isotretinoin-like syndrome,Malformation syndrome,"['Infancy', 'Neonatal']","['Autosomal recessive', 'X-linked recessive']"
2307,IVIC syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",['Autosomal dominant']
2308,Jacobsen syndrome,Malformation syndrome,['Antenatal'],"['Not applicable', 'Unknown']"
2309,Pachyonychia congenita,Disease,['All ages'],"['Autosomal dominant', 'Autosomal recessive']"
2310,Absence deformity of leg-cataract syndrome,Malformation syndrome,['Antenatal'],[]
2311,Autosomal recessive spondylocostal dysostosis,Malformation syndrome,"['Antenatal', 'Neonatal']",['Autosomal recessive']
2312,Transient familial neonatal hyperbilirubinemia,Disease,['Neonatal'],[]
2314,Autosomal dominant hyper-IgE syndrome due to STAT3 deficiency,Disease,"['Infancy', 'Neonatal']",['Autosomal dominant']
2315,Johanson-Blizzard syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2316,Johnson neuroectodermal syndrome,Malformation syndrome,['Childhood'],['Autosomal dominant']
2318,Joubert syndrome with oculorenal defect,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2319,Juberg-Hayward syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']","['Autosomal dominant', 'Autosomal recessive']"
2321,Jung syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",[]
2322,Kabuki syndrome,Malformation syndrome,"['Antenatal', 'Infancy', 'Neonatal']","['Autosomal dominant', 'Not applicable']"
2323,Sanjad-Sakati syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2324,Osteopenia-intellectual disability-sparse hair syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2325,Epidermolysis bullosa simplex with anodontia/hypodontia,Malformation syndrome,"['Infancy', 'Neonatal']",[]
2326,Kallmann syndrome-heart disease syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2328,Kapur-Toriello syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2329,Karsch-Neugebauer syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal dominant']
2330,Kasabach-Merritt phenomenon,Particular clinical situation in a disease or syndrome,"['Infancy', 'Neonatal']",['Not applicable']
2331,Kawasaki disease,Disease,"['Adolescent', 'Adult', 'Childhood', 'Infancy']",['Multigenic/multifactorial']
2332,KBG syndrome,Malformation syndrome,"['Adolescent', 'Childhood', 'Infancy', 'Neonatal']",['Autosomal dominant']
2333,Kenny-Caffey syndrome,Malformation syndrome,['Childhood'],"['Autosomal dominant', 'Autosomal recessive']"
2334,Autosomal dominant keratitis,Disease,['Childhood'],['Autosomal dominant']
2337,"Diffuse palmoplantar keratoderma, Bothnian type",Disease,"['Childhood', 'Infancy']",['Autosomal dominant']
2338,Isolated punctate palmoplantar keratoderma,Clinical group,[],['Autosomal dominant']
2339,Keratosis follicularis-dwarfism-cerebral atrophy syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['X-linked recessive']
2340,Keratosis follicularis spinulosa decalvans,Disease,['Childhood'],"['Autosomal dominant', 'Autosomal recessive', 'X-linked recessive']"
2342,Haim-Munk syndrome,Disease,"['Childhood', 'Infancy']",['Autosomal recessive']
