ORPHAcode,nombre_enfermedad
668,Osteosarcoma
671,Primary cutis verticis gyrata
672,Pallister-Hall syndrome
673,Malaria
674,Accessory pancreas
675,Annular pancreas
676,Hereditary chronic pancreatitis
677,Pancreatoblastoma
678,Papillon-Lefèvre syndrome
679,Malignant atrophic papulosis
681,Hypokalemic periodic paralysis
682,Hyperkalemic periodic paralysis
683,Progressive supranuclear palsy
684,Paramyotonia congenita of Von Eulenburg
685,Hereditary spastic paraplegia
699,Pearson syndrome
700,Alopecia totalis
701,Alopecia universalis
702,Pelizaeus-Merzbacher disease
703,Bullous pemphigoid
704,Pemphigus vulgaris
705,Pendred syndrome
707,Plague
708,Peters anomaly
709,Peters plus syndrome
710,Pfeiffer syndrome
712,Hemolytic anemia due to glucophosphate isomerase deficiency
713,Glycogen storage disease due to phosphoglycerate kinase 1 deficiency
714,Hemolytic anemia due to diphosphoglycerate mutase deficiency
715,Glycogen storage disease due to muscle phosphorylase kinase deficiency
716,Phenylketonuria
718,Isolated Pierre Robin sequence
720,Pili bifurcati
721,Gray platelet syndrome
722,Hypoplasminogenemia
723,Pneumocystosis
724,Idiopathic acute eosinophilic pneumonia
725,Developmental and epileptic encephalopathy with spike-wave activation in sleep
726,Alpers-Huttenlocher syndrome
727,Microscopic polyangiitis
728,Relapsing polychondritis
729,Polycythemia vera
730,Autosomal dominant polycystic kidney disease
731,Autosomal recessive polycystic kidney disease
732,Polymyositis
733,Familial adenomatous polyposis
734,Alpha delta granule deficiency
735,Porokeratosis of Mibelli
737,Porokeratosis plantaris palmaris et disseminata
738,Porphyria
739,Prader-Willi syndrome
740,Hutchinson-Gilford progeria syndrome
741,Familial mitral valve prolapse
742,Prolidase deficiency
743,Severe hereditary thrombophilia due to congenital protein S deficiency
744,Proteus syndrome
745,Severe hereditary thrombophilia due to congenital protein C deficiency
746,Mitochondrial trifunctional protein deficiency
747,Autoimmune pulmonary alveolar proteinosis
748,Mendelian susceptibility to mycobacterial diseases
749,Congenital prekallikrein deficiency
750,Pseudoachondroplasia
752,"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency"
753,"46,XY difference of sex development due to 5-alpha-reductase 2 deficiency"
754,Androgen insensitivity syndrome
755,Leydig cell hypoplasia
756,Pseudohypoaldosteronism type 1
757,Pseudohypoaldosteronism type 2
758,Pseudoxanthoma elasticum
760,Purine nucleoside phosphorylase deficiency
761,Immunoglobulin A vasculitis
763,Pycnodysostosis
764,Pyomyositis
765,Pyruvate dehydrogenase deficiency
766,Hemolytic anemia due to red cell pyruvate kinase deficiency
767,Polyarteritis nodosa
768,Familial long QT syndrome
769,Rabson-Mendenhall syndrome
770,Rabies
772,Infantile Refsum disease
773,Refsum disease
774,Hereditary hemorrhagic telangiectasia
776,Lujan-Fryns syndrome
777,X-linked non-syndromic intellectual disability
778,Rett syndrome
779,Reynolds syndrome
780,Rhabdomyosarcoma
781,Q fever
782,Axenfeld-Rieger syndrome
783,Rubinstein-Taybi syndrome
785,Estrogen resistance syndrome
786,Generalized glucocorticoid resistance syndrome
790,Retinoblastoma
791,Retinitis pigmentosa
792,X-linked retinoschisis
793,SAPHO syndrome
794,Saethre-Chotzen syndrome
795,Rare form of salmonellosis
796,Sandhoff disease
797,Sarcoidosis
798,Schinzel-Giedion syndrome
799,Schizencephaly
800,Schwartz-Jampel syndrome
801,Scleroderma
803,Amyotrophic lateral sclerosis
805,Tuberous sclerosis complex
806,Scott syndrome
808,Seckel syndrome
809,Mixed connective tissue disease
810,Shigellosis
811,Shwachman-Diamond syndrome
812,Sialidosis type 1
813,Silver-Russell syndrome
816,Sjögren-Larsson syndrome
817,Peeling skin syndrome
818,Smith-Lemli-Opitz syndrome
819,Smith-Magenis syndrome
820,Sneddon syndrome
821,Sotos syndrome
822,Hereditary spherocytosis
823,Spina bifida and other spinal dysraphisms
824,Primary myelofibrosis
826,Sporotrichosis
827,Stargardt disease
828,Stickler syndrome
829,Adult-onset Still disease
831,Congenital cervical spinal stenosis
832,Succinyl-CoA:3-oxoacid CoA transferase deficiency
833,Encephalopathy due to sulfite oxidase deficiency
834,Free sialic acid storage disease
838,Susac syndrome
839,"Congenital nephrotic syndrome, Finnish type"
840,Syringocystadenoma papilliferum
841,Sebocystomatosis
842,Testicular seminomatous germ cell tumor
844,Lown-Ganong-Levine syndrome
845,Tay-Sachs disease
846,Alpha-thalassemia
847,X-linked alpha-thalassemia-intellectual disability syndrome
848,Beta-thalassemia
849,Glanzmann thrombasthenia
851,Paris-Trousseau thrombocytopenia
