ORPHAcode,simbolo_gen,nombre_gen
154,GET3,"guided entry of tail-anchored proteins factor 3, ATPase"
154,DMD,dystrophin
154,TAFAZZIN,"tafazzin, phospholipid-lysophospholipid transacylase"
154,HAND2,heart and neural crest derivatives expressed 2
154,FHL2,four and a half LIM domains 2
154,ACTN2,actinin alpha 2
154,ACTC1,actin alpha cardiac muscle 1
154,PRDM16,PR/SET domain 16
154,SCN5A,sodium voltage-gated channel alpha subunit 5
154,SDHA,succinate dehydrogenase complex flavoprotein subunit A
154,FKTN,fukutin
154,TAF1A,"TATA-box binding protein associated factor, RNA polymerase I subunit A"
154,TPM1,tropomyosin 1
154,TNNI3,"troponin I3, cardiac type"
154,DSP,desmoplakin
154,SGCD,sarcoglycan delta
154,JPH2,junctophilin 2
154,LDB3,LIM domain binding 3
154,TXNRD2,thioredoxin reductase 2
154,TNNT2,"troponin T2, cardiac type"
154,TMPO,thymopoietin
154,BAG5,BAG cochaperone 5
154,VCL,vinculin
154,DOLK,dolichol kinase
154,PPCS,phosphopantothenoylcysteine synthetase
154,BAG3,BAG cochaperone 3
156,CPT1A,carnitine palmitoyltransferase 1A
158,SLC22A5,solute carrier family 22 member 5
159,SLC25A20,solute carrier family 25 member 20
162,PITX3,paired like homeodomain 3
163,FTL,ferritin light chain
167,LYST,lysosomal trafficking regulator
170,KRT74,keratin 74
170,KRT25,keratin 25
170,KRT71,keratin 71
170,LPAR6,lysophosphatidic acid receptor 6
170,LIPH,lipase H
171,GPR35,G protein-coupled receptor 35
171,MST1,macrophage stimulating 1
171,SEMA4D,semaphorin 4D
171,TCF4,transcription factor 4
174,COL10A1,collagen type X alpha 1 chain
175,RMRP,RNA component of mitochondrial RNA processing endoribonuclease
178,BRCA2,BRCA2 DNA repair associated
178,PALB2,partner and localizer of BRCA2
178,TBXT,T-box transcription factor T
179,HLA-A,"major histocompatibility complex, class I, A"
180,CHM,CHM Rab escort protein
181,EDA2R,ectodysplasin A2 receptor
181,EDA,ectodysplasin A
184,SH3BP2,SH3 domain binding protein 2
186,MMEL1,membrane metalloendopeptidase like 1
186,TNPO3,transportin 3
186,TNFSF15,TNF superfamily member 15
186,IL12A,interleukin 12A
186,IL12RB1,interleukin 12 receptor subunit beta 1
186,IRF5,interferon regulatory factor 5
186,SPIB,Spi-B transcription factor
186,POU2AF1,POU class 2 homeobox associating factor 1
189,GJB6,gap junction protein beta 6
190,NDP,norrin cystine knot growth factor NDP
192,RPS6KA3,ribosomal protein S6 kinase A3
193,VPS13B,vacuolar protein sorting 13 homolog B
198,ATP7A,ATPase copper transporting alpha
199,TAF6,TATA-box binding protein associated factor 6
199,BRD4,bromodomain containing 4
199,SMC1A,structural maintenance of chromosomes 1A
199,SMC3,structural maintenance of chromosomes 3
199,RAD21,RAD21 cohesin complex component
199,HDAC8,histone deacetylase 8
199,NIPBL,NIPBL cohesin loading factor
201,SEC23B,"SEC23 homolog B, COPII coat complex component"
201,KLLN,"killin, p53 regulated DNA replication inhibitor"
201,AKT1,AKT serine/threonine kinase 1
201,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
201,SDHB,succinate dehydrogenase complex iron sulfur subunit B
201,PTEN,phosphatase and tensin homolog
201,SDHC,succinate dehydrogenase complex subunit C
201,USF3,upstream transcription factor family member 3
201,SDHD,succinate dehydrogenase complex subunit D
207,FGFR2,fibroblast growth factor receptor 2
207,ERF,ETS2 repressor factor
211,CYLD,CYLD lysine 63 deubiquitinase
212,CTH,cystathionine gamma-lyase
215,GNB3,G protein subunit beta 3
215,SAG,S-antigen visual arrestin
215,GPR179,G protein-coupled receptor 179
215,CACNA1F,calcium voltage-gated channel subunit alpha1 F
215,TRPM1,transient receptor potential cation channel subfamily M member 1
215,RHO,rhodopsin
215,GRK1,G protein-coupled receptor kinase 1
215,SLC24A1,solute carrier family 24 member 1
215,CABP4,calcium binding protein 4
215,CACNA2D4,calcium voltage-gated channel auxiliary subunit alpha2delta 4
215,GNAT1,G protein subunit alpha transducin 1
215,GRM6,glutamate metabotropic receptor 6
215,NYX,nyctalopin
215,PDE6B,phosphodiesterase 6B
215,LRIT3,"leucine rich repeat, Ig-like and transmembrane domains 3"
218,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
219,SGCD,sarcoglycan delta
220,WT1,WT1 transcription factor
223,AVPR2,arginine vasopressin receptor 2
223,AQP2,aquaporin 2
226,QDPR,quinoid dihydropteridine reductase
229,MYH11,myosin heavy chain 11
230,DBH,dopamine beta-hydroxylase
232,HBB,hemoglobin subunit beta
233,SALL4,spalt like transcription factor 4
233,CHN1,chimerin 1
233,MAFB,MAF bZIP transcription factor B
234,ABCC2,ATP binding cassette subfamily C member 2
235,LIG4,DNA ligase 4
235,NSUN2,NOP2/Sun RNA methyltransferase 2
239,DYM,dymeclin
240,SHOX,SHOX homeobox
241,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group)
242,SOX9,SRY-box transcription factor 9
242,DHX37,DEAH-box helicase 37
242,DHH,desert hedgehog signaling molecule
242,DMRT1,doublesex and mab-3 related transcription factor 1
242,SRY,sex determining region Y
242,WT1,WT1 transcription factor
242,MAP3K1,mitogen-activated protein kinase kinase kinase 1
242,NR0B1,nuclear receptor subfamily 0 group B member 1
242,NR5A1,nuclear receptor subfamily 5 group A member 1
242,CBX2,chromobox 2
243,NUP107,nucleoporin 107
243,NR5A1,nuclear receptor subfamily 5 group A member 1
243,MRPS22,mitochondrial ribosomal protein S22
243,PSMC3IP,PSMC3 interacting protein
243,FSHR,follicle stimulating hormone receptor
243,BMP15,bone morphogenetic protein 15
243,BNC1,basonuclin zinc finger protein 1
243,ZSWIM7,zinc finger SWIM-type containing 7
243,POLR3H,RNA polymerase III subunit H
243,MSH4,mutS homolog 4
243,SPIDR,scaffold protein involved in DNA repair
244,DNAH11,dynein axonemal heavy chain 11
244,DNAH1,dynein axonemal heavy chain 1
244,DNAAF5,dynein axonemal assembly factor 5
244,DNAAF3,dynein axonemal assembly factor 3
244,NME8,NME/NM23 family member 8
244,RSPH9,radial spoke head component 9
244,DNAAF4,dynein axonemal assembly factor 4
244,LRRC56,leucine rich repeat containing 56
244,NEK10,NIMA related kinase 10
244,CCNO,cyclin O
244,DNAAF2,dynein axonemal assembly factor 2
244,DNAAF11,dynein axonemal assembly factor 11
244,STK36,serine/threonine kinase 36
244,RSPH1,radial spoke head component 1
244,DNAAF1,dynein axonemal assembly factor 1
244,RSPH3,radial spoke head 3
244,CFAP221,cilia and flagella associated protein 221
244,CFAP298,cilia and flagella associated protein 298
244,HYDIN,HYDIN axonemal central pair apparatus protein
244,CFAP300,cilia and flagella associated protein 300
244,NME5,NME/NM23 family member 5
244,CFAP74,cilia and flagella associated protein 74
244,RSPH4A,radial spoke head component 4A
244,DNAH5,dynein axonemal heavy chain 5
244,DNAI2,dynein axonemal intermediate chain 2
244,DNAI1,dynein axonemal intermediate chain 1
244,GAS8,growth arrest specific 8
244,SPEF2,sperm flagellar 2
244,RPGR,retinitis pigmentosa GTPase regulator
244,CCDC39,coiled-coil domain 39 molecular ruler complex subunit
244,CCDC40,coiled-coil domain 40 molecular ruler complex subunit
244,CCDC103,coiled-coil domain containing 103
244,SPAG1,sperm associated antigen 1
244,ODAD4,outer dynein arm docking complex subunit 4
244,CCDC65,coiled-coil domain containing 65
244,ODAD3,outer dynein arm docking complex subunit 3
244,DNAH9,dynein axonemal heavy chain 9
244,ODAD1,outer dynein arm docking complex subunit 1
244,FOXJ1,forkhead box J1
244,ODAD2,outer dynein arm docking complex subunit 2
244,TTC12,tetratricopeptide repeat domain 12
244,ZMYND10,zinc finger MYND-type containing 10
244,GAS2L2,growth arrest specific 2 like 2
244,DNAJB13,DnaJ heat shock protein family (Hsp40) member B13
244,DNAL1,dynein axonemal light chain 1
244,DRC1,dynein regulatory complex subunit 1
244,OFD1,OFD1 centriole and centriolar satellite protein
244,MCIDAS,multiciliate differentiation and DNA synthesis associated cell cycle protein
244,DNAAF6,PIH1 domain containing 3
245,SF3B4,splicing factor 3b subunit 4
246,DHODH,dihydroorotate dehydrogenase (quinone)
248,EDAR,ectodysplasin A receptor
248,EDARADD,EDAR associated via death domain
248,WNT10A,Wnt family member 10A
248,CSTB,cystatin B
256,TOR1A,torsin family 1 member A
256,SHQ1,"SHQ1, H/ACA ribonucleoprotein assembly factor"
256,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2
257,PLEC,plectin
258,LAMA2,laminin subunit alpha 2
266,MYOT,myotilin
267,CAPN3,calpain 3
268,DYSF,dysferlin
269,FRG1,FSHD region gene 1
269,DUX4,double homeobox 4
269,DUX4L1,double homeobox 4 like 1 (pseudogene)
269,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1
269,DNMT3B,DNA methyltransferase 3 beta
269,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1
270,PABPN1,poly(A) binding protein nuclear 1
272,FKTN,fukutin
274,GP1BA,glycoprotein Ib platelet subunit alpha
274,GP9,glycoprotein IX platelet
274,GP1BB,glycoprotein Ib platelet subunit beta
275,DCLRE1C,DNA cross-link repair 1C
276,IL2RG,interleukin 2 receptor subunit gamma
277,ADA,adenosine deaminase
280,CPLX1,complexin 1
280,CTBP1,C-terminal binding protein 1
280,LETM1,leucine zipper and EF-hand containing transmembrane protein 1
280,PIGG,phosphatidylinositol glycan anchor biosynthesis class G (EMM blood group)
280,NELFA,negative elongation factor complex member A
280,NSD2,nuclear receptor binding SET domain protein 2
281,SEMA5A,semaphorin 5A
281,CTNND2,catenin delta 2
286,COL3A1,collagen type III alpha 1 chain
287,COL1A1,collagen type I alpha 1 chain
287,COL5A2,collagen type V alpha 2 chain
287,COL5A1,collagen type V alpha 1 chain
288,EPB41,erythrocyte membrane protein band 4.1
288,GYPC,glycophorin C (Gerbich blood group)
288,SPTB,"spectrin beta, erythrocytic"
288,SPTA1,"spectrin alpha, erythrocytic 1"
289,DYNC2LI1,dynein cytoplasmic 2 light intermediate chain 1
289,PRKACA,protein kinase cAMP-activated catalytic subunit alpha
289,GLI1,GLI family zinc finger 1
289,EVC2,EvC ciliary complex subunit 2
289,EVC,EvC ciliary complex subunit 1
289,PRKACB,protein kinase cAMP-activated catalytic subunit beta
296,PTH1R,parathyroid hormone 1 receptor
296,IDH2,isocitrate dehydrogenase (NADP(+)) 2
296,IDH1,isocitrate dehydrogenase (NADP(+)) 1
298,POLG,"DNA polymerase gamma, catalytic subunit"
298,RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B
298,LIG3,DNA ligase 3
298,TYMP,thymidine phosphorylase
300,EHHADH,enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase
300,HSD17B4,hydroxysteroid 17-beta dehydrogenase 4
302,TMC8,transmembrane channel like 8
302,TMC6,transmembrane channel like 6
302,IL7,interleukin 7
302,CIB1,calcium and integrin binding 1
306,KCNQ3,potassium voltage-gated channel subfamily Q member 3
306,KCNQ2,potassium voltage-gated channel subfamily Q member 2
306,PRRT2,proline rich transmembrane protein 2
306,SCN8A,sodium voltage-gated channel alpha subunit 8
306,SCN2A,sodium voltage-gated channel alpha subunit 2
307,GABRD,gamma-aminobutyric acid type A receptor subunit delta
307,CILK1,ciliogenesis associated kinase 1
307,CLCN2,chloride voltage-gated channel 2
307,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
307,KCNQ3,potassium voltage-gated channel subfamily Q member 3
307,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4
307,EFHC1,EF-hand domain containing 1
307,JRK,Jrk helix-turn-helix protein
308,PRICKLE1,prickle planar cell polarity protein 1
308,SCARB2,scavenger receptor class B member 2
308,CSTB,cystatin B
312,KRT10,keratin 10
312,KRT1,keratin 1
313,SULT2B1,sulfotransferase family 2B member 1
313,NIPAL4,NIPA like domain containing 4
313,ALOXE3,arachidonate lipoxygenase 3
313,ALOX12B,"arachidonate 12-lipoxygenase, 12R type"
313,LIPN,lipase family member N
313,ASPRV1,aspartic peptidase retroviral like 1
313,TGM1,transglutaminase 1
313,ABCA12,ATP binding cassette subfamily A member 12
313,CYP4F22,cytochrome P450 family 4 subfamily F member 22
313,SDR9C7,short chain dehydrogenase/reductase family 9C member 7
316,KDSR,3-ketodihydrosphingosine reductase
316,LORICRIN,loricrin cornified envelope precursor protein
316,KRT83,keratin 83
316,TRPM4,transient receptor potential cation channel subfamily M member 4
317,GJB3,gap junction protein beta 3
317,KDSR,3-ketodihydrosphingosine reductase
317,GJB4,gap junction protein beta 4
317,GJA1,gap junction protein alpha 1
319,EWSR1,EWS RNA binding protein 1
319,FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
319,ETV4,ETS variant transcription factor 4
